NAME                                              IMAGE                                           COMMAND                  SERVICE                          CREATED         STATUS         PORTS
lakesidemutual-customer-core-1                    lakesidemutual/customer-core                    "java -jar customer-ΓÇª"   customer-core                    5 minutes ago   Up 5 minutes   0.0.0.0:8110->8110/tcp, [::]:8110->8110/tcp
lakesidemutual-customer-management-backend-1      lakesidemutual/customer-management-backend      "java -jar customer-ΓÇª"   customer-management-backend      5 minutes ago   Up 5 minutes   0.0.0.0:8100->8100/tcp, [::]:8100->8100/tcp
lakesidemutual-customer-management-frontend-1     lakesidemutual/customer-management-frontend     "/var/entrypoint.sh ΓÇª"   customer-management-frontend     5 minutes ago   Up 5 minutes   0.0.0.0:3020->80/tcp, [::]:3020->80/tcp
lakesidemutual-customer-self-service-backend-1    lakesidemutual/customer-self-service-backend    "java -jar customer-ΓÇª"   customer-self-service-backend    5 minutes ago   Up 5 minutes   0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
lakesidemutual-customer-self-service-frontend-1   lakesidemutual/customer-self-service-frontend   "/var/entrypoint.sh ΓÇª"   customer-self-service-frontend   5 minutes ago   Up 5 minutes   0.0.0.0:3000->80/tcp, [::]:3000->80/tcp
lakesidemutual-policy-management-backend-1        lakesidemutual/policy-management-backend        "java -jar policy-maΓÇª"   policy-management-backend        5 minutes ago   Up 5 minutes   0.0.0.0:8090->8090/tcp, [::]:8090->8090/tcp, 0.0.0.0:61613->61613/tcp, [::]:61613->61613/tcp, 0.0.0.0:61616->61616/tcp, [::]:61616->61616/tcp
lakesidemutual-policy-management-frontend-1       lakesidemutual/policy-management-frontend       "/var/entrypoint.sh ΓÇª"   policy-management-frontend       5 minutes ago   Up 5 minutes   0.0.0.0:3010->80/tcp, [::]:3010->80/tcp
lakesidemutual-risk-management-server-1           lakesidemutual/risk-management-server           "docker-entrypoint.sΓÇª"   risk-management-server           5 minutes ago   Up 5 minutes   0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp
lakesidemutual-spring-boot-admin-1                lakesidemutual/spring-boot-admin                "java -jar spring-boΓÇª"   spring-boot-admin                5 minutes ago   Up 5 minutes   0.0.0.0:9000->9000/tcp, [::]:9000->9000/tcp
